order_id,order_date,category,product,unit_price,quantity,revenue,discount_pct,region,sales_channel,payment_method,customer_age,customer_rating
ORD100452,2024-01-01,Beauty,Moisturizer,22.0,1,22.0,0.0,North,Online,Credit Card,27.0,3.0
ORD101592,2024-01-01,Home & Kitchen,Vacuum,141.55,2,283.1,0.05,North,In-Store,Wallet,18.0,2.0
ORD102647,2024-01-01,Apparel,Jeans,45.0,2,90.0,0.0,North,In-Store,Credit Card,37.0,4.0
ORD101446,2024-01-01,Sports,Bicycle,331.55,1,331.55,0.05,South,Online,Debit Card,37.0,5.0
ORD101571,2024-01-01,Apparel,T-Shirt,14.25,2,28.5,0.05,Central,In-Store,Credit Card,41.0,3.0
ORD100989,2024-01-02,Sports,Tent,122.55,1,122.55,0.05,North,Online,Debit Card,45.0,4.0
ORD100014,2024-01-02,Apparel,T-Shirt,15.0,3,45.0,0.0,East,In-Store,Debit Card,57.0,4.0
ORD103090,2024-01-02,Home & Kitchen,Blender,35.1,1,35.1,0.1,South,In-Store,Wallet,24.0,4.0
ORD102483,2024-01-02,Beauty,Lipstick,18.0,1,18.0,0.0,Central,Online,Debit Card,43.0,3.0
ORD102600,2024-01-02,Beauty,Sunscreen,16.0,2,32.0,0.0,South,Online,Credit Card,39.0,4.0
ORD102988,2024-01-02,Electronics,Tablet,349.0,1,349.0,0.0,South,Online,Credit Card,18.0,5.0
ORD102798,2024-01-02,Apparel,T-Shirt,12.0,4,48.0,0.2,Central,Online,Debit Card,31.0,4.0
ORD103251,2024-01-02,Home & Kitchen,Coffee Maker,59.0,1,59.0,0.0,West,Online,Debit Card,34.0,4.0
ORD103689,2024-01-02,Electronics,Smartphone,664.05,2,1328.1,0.05,North,In-Store,UPI,44.0,2.0
ORD102684,2024-01-03,Electronics,Smartphone,699.0,1,699.0,0.0,North,Online,Wallet,20.0,4.0
ORD104375,2024-01-03,Home & Kitchen,Vacuum,149.0,1,149.0,0.0,North,Online,Debit Card,42.0,5.0
ORD100256,2024-01-03,Beauty,Shampoo,9.6,1,9.6,0.2,West,In-Store,Credit Card,30.0,4.0
ORD103755,2024-01-03,Sports,Bicycle,349.0,1,349.0,0.0,East,Online,Cash,48.0,5.0
ORD103525,2024-01-03,Home & Kitchen,Air Fryer,89.0,1,89.0,0.0,Central,In-Store,UPI,23.0,3.0
ORD104057,2024-01-04,Sports,Running Shoes,79.0,1,79.0,0.0,East,Online,Debit Card,44.0,3.0
ORD103778,2024-01-04,Apparel,Jacket,84.55,1,84.55,0.05,Central,Online,UPI,,4.0
ORD103113,2024-01-04,Electronics,Smartphone,629.1,1,629.1,0.1,Central,In-Store,Cash,46.0,4.0
ORD103050,2024-01-04,Home & Kitchen,Blender,33.15,1,33.15,0.15,South,Online,Wallet,37.0,4.0
ORD104726,2024-01-04,Home & Kitchen,Vacuum,149.0,1,149.0,0.0,West,Online,Wallet,40.0,5.0
ORD104081,2024-01-04,Apparel,Jacket,89.0,1,89.0,0.0,Central,Online,Credit Card,41.0,4.0
ORD104759,2024-01-04,Beauty,Shampoo,12.0,1,12.0,0.0,South,In-Store,Credit Card,42.0,5.0
ORD103195,2024-01-04,Sports,Running Shoes,75.05,1,75.05,0.05,Central,Online,UPI,25.0,5.0
ORD101698,2024-01-05,Sports,Tent,122.55,4,490.2,0.05,Central,Online,Credit Card,30.0,5.0
ORD104039,2024-01-05,Home & Kitchen,Vacuum,149.0,5,745.0,0.0,North,Online,Wallet,48.0,4.0
ORD103844,2024-01-05,Home & Kitchen,Air Fryer,75.65,2,151.3,0.15,North,In-Store,Wallet,72.0,5.0
ORD102154,2024-01-05,Sports,Bicycle,349.0,1,349.0,0.0,West,In-Store,Credit Card,44.0,5.0
ORD102106,2024-01-05,Sports,Yoga Mat,21.25,2,42.5,0.15,East,In-Store,Debit Card,34.0,4.0
ORD102194,2024-01-05,Apparel,Dress,52.25,1,52.25,0.05,East,Online,UPI,51.0,2.0
ORD101651,2024-01-05,Sports,Bicycle,349.0,1,349.0,0.0,West,Online,Cash,30.0,5.0
ORD100919,2024-01-06,Sports,Tent,122.55,1,122.55,0.05,South,Online,Debit Card,34.0,5.0
ORD104663,2024-01-06,Beauty,Sunscreen,16.0,1,16.0,0.0,West,Online,Debit Card,44.0,5.0
ORD102809,2024-01-06,Beauty,Moisturizer,22.0,4,88.0,0.0,East,In-Store,Credit Card,22.0,5.0
ORD102977,2024-01-06,Beauty,Shampoo,12.0,1,12.0,0.0,South,Online,Credit Card,49.0,4.0
ORD102762,2024-01-06,Beauty,Moisturizer,19.8,1,19.8,0.1,Central,Online,Credit Card,46.0,2.0
ORD103970,2024-01-06,Home & Kitchen,Blender,31.2,1,31.2,0.2,South,Online,Cash,20.0,5.0
ORD104449,2024-01-06,Beauty,Moisturizer,20.9,1,20.9,0.05,East,In-Store,UPI,18.0,5.0
ORD101282,2024-01-06,Beauty,Shampoo,12.0,1,12.0,0.0,South,In-Store,UPI,28.0,5.0
ORD101162,2024-01-07,Apparel,Dress,55.0,2,110.0,0.0,South,Online,Wallet,38.0,4.0
ORD102291,2024-01-07,Beauty,Sunscreen,16.0,1,16.0,0.0,South,In-Store,Debit Card,47.0,3.0
ORD102369,2024-01-07,Beauty,Moisturizer,22.0,1,22.0,0.0,East,In-Store,Credit Card,42.0,5.0
ORD101421,2024-01-07,Sports,Tent,122.55,1,122.55,0.05,Central,Online,Debit Card,18.0,4.0
ORD102590,2024-01-07,Beauty,Shampoo,11.4,2,22.8,0.05,South,Online,Credit Card,42.0,4.0
ORD101994,2024-01-07,Sports,Tent,129.0,2,258.0,0.0,South,Online,Credit Card,34.0,5.0
ORD102583,2024-01-07,Home & Kitchen,Blender,39.0,1,39.0,0.0,South,Online,Wallet,29.0,4.0
ORD100713,2024-01-07,Sports,Running Shoes,75.05,1,75.05,0.05,South,In-Store,Debit Card,27.0,5.0
ORD100229,2024-01-07,Home & Kitchen,Cookware Set,129.0,2,258.0,0.0,West,Online,Debit Card,43.0,4.0
ORD101385,2024-01-07,Apparel,Jacket,75.65,1,75.65,0.15,North,Online,UPI,45.0,5.0
ORD100615,2024-01-07,Apparel,Sneakers,61.75,3,185.25,0.05,South,Online,Debit Card,37.0,5.0
ORD103555,2024-01-08,Apparel,T-Shirt,15.0,2,30.0,0.0,South,Online,Cash,25.0,2.0
ORD102561,2024-01-08,Electronics,Smartphone,664.05,1,664.05,0.05,East,Online,Debit Card,47.0,4.0
ORD103549,2024-01-08,Home & Kitchen,Vacuum,126.65,1,126.65,0.15,North,Online,Credit Card,19.0,5.0
ORD103545,2024-01-08,Home & Kitchen,Coffee Maker,56.05,5,280.25,0.05,Central,In-Store,Credit Card,46.0,4.0
ORD103407,2024-01-08,Apparel,Jeans,45.0,5,225.0,0.0,East,Online,Credit Card,41.0,4.0
ORD100216,2024-01-08,Home & Kitchen,Blender,39.0,3,117.0,0.0,North,Online,Credit Card,51.0,5.0
ORD102293,2024-01-08,Sports,Running Shoes,71.1,1,71.1,0.1,North,Online,Debit Card,21.0,5.0
ORD100611,2024-01-09,Beauty,Sunscreen,16.0,1,16.0,0.0,South,In-Store,Credit Card,37.0,5.0
ORD102015,2024-01-09,Beauty,Moisturizer,18.7,1,18.7,0.15,South,In-Store,Debit Card,18.0,3.0
ORD100388,2024-01-09,Electronics,Smartwatch,179.1,1,179.1,0.1,West,In-Store,Debit Card,36.0,3.0
